songRank,songName,songComment
21,My Ex's Best Friend,"I blocked my ex EVERYWHERE. He created an email starting with my best friend’s name to apologize, tell me he still… https://t.co/Kmtrb4S4kL
i wanted to kiss my gay ex boyfriend who’s now my best friend because he just looked SO fine but he didn’t let me 😩
Realizing I was my ex best friend’s only friend of color throughout our entire friendship is concerning
the fact that ciana has been my best friend for a fucking DECADE. i love u so much i’m gonna keep hexing all your e… https://t.co/E4f1yPodqM
#NowPlaying My Ex's Best Friend by Machine Gun Kelly / Blackbear #listen at https://t.co/RGN0Gpaxia
i didn't get into dan and phil until last year and yet there's these weird moments where they do stuff and it's lik… https://t.co/0NLQ4uGX05
Got a random itch to text my ex best friend but then remembered why she’s an EX best friend 😭
My ex best friend is so annoying.. she’s so petty and I told her something for her safety and she wants to pick a fight over it.
it’s my ex best friend’s birthday and I didn’t send her a text https://t.co/2WUSLZYdst
Your favorite music : my ex's best friend by Machine Gun Kelly ft. blackbear ** 24/7 pop/indie/alt awesomeness at… https://t.co/0qwTjQrcKU"
22,Best Friend,"@paulie_atreides @BeauTFC Best friend’s brother in law got into drones with some group after he left a popular team… https://t.co/mRYUI1GC2f
Friends buy you food.🍝 Best friends eat your food with you.♥️ Do you want to be my best friend? Add me!! https://t.co/OpmsiJixtO
get you a best friend that compliments you by comparing you to your comfort character 🥺
LMAO💀💀💀 Finally I got it why he looks so healthy and peaceful. Do not come back again, the f*cking demon. They'll b… https://t.co/eciPm2mN1r
OMG BEST FRIEND HIIII https://t.co/LclgveaKXh
// I'll Join in My friend! Lemme just get registered for housing and grab my champagne. 

Time to go be the best me… https://t.co/UIuzr4Foel
RT @raptalk: Releasing the first All My Favorite Rappers Are Dead NFT  with one of my best friend's 
@Tim_Sanchez
 original pictures. RIP P…
it's hard when you lose a lover and you lose a best friend in the same day
RT @LoganPaul: i just watched my best friend @georgejanko do a live standup comedy show for the first time... holy fkn shit this kid is gon…
@hvcheoI Ok one turkey sandwich for my best friend payton ❤️🔥"
23,Good Days,"RT @SupaBwe: I’m tired of jumping through hoops to please these algorithms. I just wanna release music without strings being attached, like…
RT @Aathike99896297: Good Morning Ajithiyans 🔥

43 Days To Go ...திருவிழா தல ஆரம்பம் 

01.05.2021 🙏🕺🎂❤️

#UnbeatableAjithKingdom #Valimai h…
RT @milkpeel: waiting for them “good days”..that
pathological liar was singing about
RT @SkinLords: AWP Neo-Noir 48H CSGO Giveaway! 💰

👉 Visit: https://t.co/vCJQqcuJgS
✅ Retweet
✅ Follow us
✅ Tag a friend

Rolls in 2 days! G…
where the good days at sza???
RT @SWAction21: Final days of #SWAction21 campaign. Still time to share your #PersonalPledge to #RiseAgainstRacism.  And to join our Group…
@PinYoungActress In the USA, smoke weed. But I’ll smoke weed if I’m having a good day too. I’d just switch from Ind… https://t.co/Vr00d5Wh5y
RT @milkpeel: waiting for them “good days”..that
pathological liar was singing about
RT @David8ce: SZA good days a very great song
RT @milkpeel: waiting for them “good days”..that
pathological liar was singing about"
24,I Hope,"RT @bblvsty2: Day6 trending again, someone left a message for Jae with a meme I can’t asdgjkfs: “hope Jaehyungie will always be happy!! Stu…
RT @conspiracyb0t: Are YOU seeing everything is rigged yet? I hope so, there are a lot of us working hard to wake people up.
RT @AsheEmbers: @LilithLovett She straight up fucked him up, but I hope she presses charges.
@TXT_members the beanie :(( you’re so cute, i hope you’re having a great day so far!!
@AnimeContexts @AoTesthetics I hope so 😂
RT @sandrinetwo: I hope chαnyeol sees how much we love and support him 🥺🥺

#TheBoxPremiere
#CHANYEOLinTheBox 
#3월24일_찬열_더박스_개
RT @gres_ilino: CHANGBIN &amp; FELIX - 좋으니까 ('Cause I Like You)
Cover by me ❤✨

HELP RT/LIKE PLEASE?

@Stray_Kids Hope you guys watch this 😓 ht…
SM &amp; merchie were not subtle with their timing, it's clear as day something happened behind the scenes for them to… https://t.co/A86kGBnvo4
@BikingmannMann @PermissiontoQ I live in the same country. Different, less populated state though. My daughter is s… https://t.co/b7MKnExRXr
it’s been awhile since graham has been active i hope he’s doing ok 😔😩 https://t.co/tVuR3ugzSy"
25,On Me,"@Eskom_SA Let me get this straight? The system dictacts when loadshedding is required based on how loaded it is rig… https://t.co/qf7eiO3fBt
RT @earthrockmuse: Ugly crying. Ugly sobbing 😩❤ smile on his cheeks made me being so alive again 🙌

#CHANYEOLinTheBox @weareoneEXO https://…
RT @ceceegonz: SAC AREA. STAY SAFE &amp; STAY AWARE OF YOUR SURROUNDINGS. This happened to me at the winco on Watt Ave this morning. Sex traffi…
@AureliaOT7 @BTS_twt Meanwhile you call me on FT and then forget why you called and I’m the idiot 😛
RT @A100888: $ 100 🎹 1,350,000 IDR 🎹 4,600 PhP

🔸RT, Like, Follow me and

@CryptoPoorBoy

🔸Turn notifs on 🔔 for both of us
🔸Post Proof

🔈En…
RT @znqmi: choose either bp or welkin moon! 

- 1 winner

rules:
- rt to enter
- must be following me
- tag a friend for extra entry
- mobi…
RT @whitney_hu: it's not lost on me that a white man can murder 8 asian women and be arrested alive but breonna taylor was killed by police…
RT @itss_taylorrrd: I’m really a distant person lol the closest people to me willl tell you. I would go days without talking to them not on…
it is actually so weird to me that ai dee is on a ""nostalgic miku"" playlist bc it feels like, yeah this is my music… https://t.co/mrizYEtHTD
RT @hyyhdddaeng: BH: alright we need to rec-

Jimin: I want a dog. 

BH: you don’t even know- 

Namjoon: and a television 

Seokjin: with m…"
26,Streets,"@Naley___ @BOYDlVlSlONN yeah if we’re being honest, that baby won’t be able to survive on the streets. If he can’t… https://t.co/RSlgnXSwB2
Listen, message! 🤣🤞🏾 #streets #name #hello #calling #summer #comedian #laugh #graveyard #graveyardshift #boredom… https://t.co/MhJ8r3mtkY
RT @RestoreHope_20: 16 March 1965 mounted police in Montgomery, Alabama, violently attacked a peaceful civil rights demonstration. The next…
RT @AishaYesufu: Many think that #EndSars protest was a failure because the youth left the streets after they were killed on the streets by…
RT @dopeshots_af: We cannot overlook the influence Italian 🇮🇹 on our fashion sense.

This makes Matariana part of our heritage. Just like t…
According to HlaingTharYa People, Military's sponsored thugs are raiding into streets and continuously shooting wit… https://t.co/fPVtpf3UbZ
@GOPLeader Fentanyl will further invade our streets and kill our children. Shame in this administration.
RT @rantonstupidity: @sheenayapchan @Lance21001 @DennisKPIX @KPIXtv Shameful that this should be happening on the streets of San Francisco.…
Always good when the streets eat, nice one bro 🤙🏾 to more blessings 💯💯 https://t.co/iMF1sLPdKg
RT @bigphabe: I love being cuffed, I am not for the streets fr 😩"
27,Better Together,"RT @dyowniems: ""I want him in my life"" is way better than any confirmation anyone can ever give us. It's a guarantee that whatever happens…
not ba fans saying they aren’t watching next week because their poor ships not together? What was it you were sayin… https://t.co/4LjFZGDpHG
RT @cosmic4ever: @sir4thermo_1 💎💎Following All Followers💎💎
🐬🐬🐬@cosmic4ever🐬🐬🐬🐬
🐳🐳We’re Better Together🐳🐳
RT @CastlexGOT7: JayB chose to be a ""freelancer"" to handle ALL GOT7 stuffs, at least fr now. Do you all think it's just for them? NO, it's…
RT @lukamodric10: Better together 🤝
RT @CastlexGOT7: JayB chose to be a ""freelancer"" to handle ALL GOT7 stuffs, at least fr now. Do you all think it's just for them? NO, it's…
RT @jinwoopudding: Don’t be afraid to join! These voting teams are aiming at providing assistance + group everyone together for a better re…
There’s nothing better than when @TypicalGamer and @samararedway play fortnite together. He loves that woman! And she owns it
RT @CastlexGOT7: JayB chose to be a ""freelancer"" to handle ALL GOT7 stuffs, at least fr now. Do you all think it's just for them? NO, it's…
Don’t be afraid to join! These voting teams are aiming at providing assistance + group everyone together for a bett… https://t.co/cfAGFMr2d7"
28,Throat Baby (Go Baby),"https://t.co/XdSRPRHkni
Now Playing on WSTR - DB Throat Baby (Go Baby) by BRS Kash Listen Online @ https://t.co/EcSGtQ7w2N https://t.co/b8db6WE1W0
https://t.co/sm1uRe6PkB
Throat baby I go throat crazy ..💦💦👶🏾
BRS Kash - Throat Baby (Go Baby)
#NP BRS Kash - Throat Baby (Go Baby)  on #WeJamRadio https://t.co/xtfLScsf4C
@MisterSalesman I'm proud of my boy and can't wait to get my hands around the throat of whoever owns that dog for m… https://t.co/jJSb0LEwgp
https://t.co/2SEZH9RC4n
throat baby. i go throat crazy.
Throat baby, Imma go Throat Crazy 😜"
29,Holy,"Holy. Smokin'! https://t.co/MIuyUQHFvt
RT @JohnFugelsang: Dear Media:

Stop saying the shooter was ""deeply religious.""
People of any faith who murder other people haven't actuall…
RT @AD_overthinks: 35,000 acre Jagannath Temple land is to be sold by the Odisha Government. 
A temple's land is for the Lord only. Stop th…
RT @randm_indianguy: Why only Hindu temples are targeted by this pseudo-secular Government. We don't want our holy temple land to be sold l…
RT @AD_overthinks: 35,000 acre Jagannath Temple land is to be sold by the Odisha Government. 
A temple's land is for the Lord only. Stop th…
(Hebrews 6:10)
10 For God is not unrighteous so as to forget your work and the love you showed for his name by mini… https://t.co/FGrYvk5a7k
can y’all stop posting depressing and sad shit like holy fuck i don’t wanna see that
RT @Itssan17: And now #SnyderCut has officially crossed 100k tweets and the movie hasn't even premiered yet. Holy Shit, the hype is insane…
RT @randm_indianguy: Why only Hindu temples are targeted by this pseudo-secular Government. We don't want our holy temple land to be sold l…
Lmfaooo I ain’t shit bc I won’t block you but I’ll put yo contact on dnd and delete it 😂 shit got reported as junk… https://t.co/c2quSRrxtm"
30,Put Your Records On,"RT @puffyspotif: Put Your Records On - Corinne Bailey Rae 
(4:37pm EST)
@GrimEye_ @blaublesse LMAO IG A BIGGER BRAIN IS NEEDED TO REALIZE THIS:
If Mihoyo can track every single thing like… https://t.co/Dp0rwIUMcm
GIRL put your records on
tell me your favorite song 🎵🎶🎶🎶
———1:02 AM———- 
“”””””can’t sleep””””””
♫ girl, put your records on, tell me your favorite song, you go ahead, let your hair down ♫
RT @Thecooliestdool: Me: :(
*”put your records on” plays*
Me: :)
Me: :(
*”put your records on” plays*
Me: :)
#NowPlaying Put Your Records On by Ritt Momney #listen at https://t.co/RGN0Gpaxia
RT @puffyspotif: Put Your Records On - Corinne Bailey Rae 
(4:37pm EST)
Put your records on

I vote for #ENHYPEN for #StanWorld 

#엔하이픈 @ENHYPEN @ENHYPEN_members
Put Your Records On x Ritt Momney is suchhhhhhh quality!!!"
31,Anyone,"Anyone else binge watching Last Chance U: Basketball on Netflix? Cuz like 🥺
RT @akashkivani: Can anyone explain it in simple terms, what's going on? #मुस्लिमभाई_सुनोअल्लाहकीसच्चाई
RT @ViikateFN: Not going to be toxic anymore to anyone😊 not even as a joke! Would be nice if the community would be less toxic and egoistic👍
RT @alluringwitch: i want to be WOOED!!! i want to be ADORED!!! fuck anyone who says it’s “cheesy” or “a cliche” i want to be ROMANCED!!!
RT @AmCalamity: ""Not for anyone""  [SFM]

#Fortnite #Fortniteart #Sourcefilmmaker #Wildwest https://t.co/Gna1poF8c2
Check out the fun flicks that are gonna screen at a drive-in this Spring in Austin thanks to @mikelfair and… https://t.co/vTRCFNDpP3
RT @jmnstits: Anyone who says, ""zayn's flopping despite doing promos"" should tune in to the SIRIUSXM interview and listen to those guys spi…
RT @SenSchumer: BIG—The #AmericanRescuePlan makes student loan forgiveness tax-free.

This means President Biden can #CancelStudentDebt wit…
Tuba, a great Humanitarian, loving Mother, beautiful Person who would not hurt anyone by words or deeds. We are beh… https://t.co/QPOYok3wVW
RT @CFCIvey_: Good morning to anyone whose manager is still unbeaten in every competition😍, &amp; a special Goodmorning to all the @ChelseaFC &amp;…"
32,Willow,"@justlovinswift Willow is a good name
RT @ArfArts: 🖤 @cucumber_vape https://t.co/QJ0Mb06zIZ
@BigLizard5000 Lollll will tell you when I see you irl shakskfjdja it’s been a while since I’ve seen you so much has happened 😫
RT @mxUSim: 샴페인 반잔마시고 비행기에서 토한 민혁이
소주 두잔마시고 깻잎 마시써..얘드라..근대 깬닙이 마싯다.... 근데 잇잔아...깻입이 마싯어 얘들아.. 여기 깬닙맛집이다... 연발하는 민혁이
RT @hotmaramat: 👤오 뭐야
 산 다녀왔어?                         아니 20000일           
                                                축하사진인데.. https:…
literally like where are willow, xander, anya, dawn and giles it still doesnt sit right with me that none of them e… https://t.co/HAdMzwKYmJ
I ripped the performance audio from YouTube &amp; remastered it! Sounds great! #TaylorSwiftGrammys #albumoftheyear #cardigan #august #willow
進捗: 運転のリハビリ
@7Zerx7 Looks cool with all the agents and jonesy oh and meet willow in my game yesterday now I wish I had gnash now.
RT @monsta_onion: 맘찍 친해지자는 뜻으로 알겠습니다.
알티 사랑한다는 뜻으로 알겠습니다.
인용 저랑 반모하자는 뜻으로 알겠습니다.
멘션 우린 짱친이라는 뜻으로 알겠습니다.
디엠 사귀자는거로 알겠습니다. https://t.co/XUftH…"
33,Just The Way,"RT @JRRTolkien: ‘Middle-earth’, by the way, is not a name of a never-never land without relation to the world we live in...It is just a use…
it’s not been that long but just the way i feel about him has taught me that it’s okay and helped me moved on from… https://t.co/0j0HpigiKk
RT @emotionaffairs: I'm convinced the writers don't want us to ship Barchie anymore. The way Archie acted in this episode, convo he had wit…
RT @careIoved: just because YOU don’t understand the way i feel, doesn’t mean my emotions are invalid
I was just thinking “by the time I’m 27 I should really have my shit together” dude no way lol that’s next year 😣
RT @CaptMarvelNews: SPOILER ALERT! 
.
.
.
.

I loved the way Strange approached to Carol. He was caring, worried about her. Made her laugh.…
RT @Nadaf6Altaf: Just saw that #RippedJeansTwitter is trending... Here is the man who started the trend of ripped jeans way back before...…
We either have the capacity to turn it on and off as we like or we're going to be burning a mountain of $$$ diesel… https://t.co/pyFViIQket
RT @careIoved: just because YOU don’t understand the way i feel, doesn’t mean my emotions are invalid
RT @yoongicloud_: The way he was so happy while cycling he just kept on appreciating ""its nice to ride bikes""🥺
https://t.co/sg3rSa3HRl"
34,Without You,"RT @jkbun_twt: ""tell me you're worldwide handsome without telling me you're worldwide handsome"" 

seokjin: https://t.co/wsn8GrS8Bu
RT @quenblackwell: men be like: okay...maybe i did emotionally manipulate the SHIT out of you BUT it wasn’t with bad intentions!😭 my love i…
@GenshinImpact If you focus on content first people would have other stuff to do then make or check leaks. Besides… https://t.co/Cw0LkEumOe
RT @BerniceKing: “We must see now that the evils of racism, economic exploitation, and militarism are all tied together. And you can’t get…
RT @LKTV_: you can't spell wiz*one without iz*one

#IZONETheReasonWeExist
RT @quenblackwell: men be like: okay...maybe i did emotionally manipulate the SHIT out of you BUT it wasn’t with bad intentions!😭 my love i…
With or without glasses?👓 I look like a bad teacher👩🏻‍🏫 😈.. Do you want private lessons? https://t.co/t9w0D8lyIH
RT @ssamyenmoments: “You always make me laugh. You are my comedian, I can’t live without you. Lets be roomates forever” - Chaewon to Yena h…
@johnstf @SpookyEvilOne How do you get cats out of a heated bed without feeding 7x24 asking for a friend
@hannahmuktar @salakwa1 You finished uni, bought land not hair and iPhone? Wow, are you really a Nigerian lady? I c… https://t.co/2nqeGBFS6Q"
35,Bang!,"@VirtualThumb @pawjar Harus bawa apa aja bang?
@Yixing_Zhoumi MHIE?? ANO BANG NANGYAYARI??
RT @hyunsaff: this                    with              this
hyunjin                                    bang chan https://t.co/IB31EHTvjQ
RT @corneliaxoxoxo: Wala na bang pasabog ha? Pwede na ko kumalma at magwork?
@anansmr24 @Svizzera_CH @OjolPangeran01 Boleh minta QR nya bang ojol, mas
RT @Bukanorangbija2: Assalamu'alaikum
Sepatu safety yours step Rfs
Bahan suede 
Sol karet
Plat besi
Size 39-43
Harga 300rb

Pemesanan dm/WA…
RT @chanlooks: i believe in go live era bang chan supremacy https://t.co/Ja36gasWgW
👧🏻 : Maap bang baru belajar

Ehh ngeratain 1 sq wkwkw 🤣
Gk jd nyamar jd bot https://t.co/ixfVSd5gfB
@Bang_Garr @A100888 https://t.co/fYMVVneelY
@traktor_bang @mizdec @atticus_flinch у меня вообще с работы никто не хочет прививаться (25 человек) , даже несмотр… https://t.co/0Qc1MJaEKp"
36,Down To One,"RT @JoeyAkan: And not to forget, he goes down in history as the only man to pee on a Grammy, and still win one the next year.
RT @RossBarkan: Happy one year anniversary to Andrew Cuomo shooting down the idea of a shutdown for New York City as thousands of people we…
RT @MARCSInstitute: Did you know this week is Brain Awareness Week? We sat down with one of our Cognitive Neuroscientists, Dr Tijl Grootswa…
RT @AnandFC3: Be that strong girl that everyone knew would make it through the worst, be that fearless girl, the one who would dare to do a…
Number one oppa gangnam style, yeah Korean Psy we bout to get down (get down)
RT @MuslimsDwnUnder: What does being Australian really mean?

Does it require one to integrate or assimilate? 

Find out the answers to the…
This is such a crazy situation. And one that has not gone down very well at all in the Indonesian badminton communi… https://t.co/LtAuKROEjY
i felt the second one right down to my core https://t.co/1Ypqxg9u1T
@NMalone8 Since the school I put my little one in decided to skip reading till they’re in first grade I’ve decided… https://t.co/UQlzBEWqgQ
thinking about how work song is one of the most romantic songs........”no grave can hold my body down i’ll crawl ho… https://t.co/OBrQoXsH7d"
37,No More Parties,"No more play time until im heavily PAID!! no more parties or nun, im not bullshitting neither
No More Parties In LA https://t.co/ZecNJWKUAe via @tmsupergrateful
RT @Vevo: .@lildurk hopped on @Coi_Leray's viral hit, ""No More Parties."" 🐐 Watch them tidy up from the night before, and even make a goat f…
that no more parties song so fuckin annoying
Now playing on HUSH Radio app Coi Leray ft. Lil Durk - No More Parties..download the app now from your google play store
RT @Vevo: .@lildurk hopped on @Coi_Leray's viral hit, ""No More Parties."" 🐐 Watch them tidy up from the night before, and even make a goat f…
Can someone please tell me what sound reese youngn made in his no more parties remix 😭😭😭🥴
RT @Vevo: .@lildurk hopped on @Coi_Leray's viral hit, ""No More Parties."" 🐐 Watch them tidy up from the night before, and even make a goat f…
“No More Parties” remix out now ❤️ #CoiLeray #NoMoreParties
@aridaslimmaz oh 😭 reese youngn- ""no more parties"" remix"
38,Lemonade,"18.03. 07:16 Uhr: Ricky Dietz ""Lemonade Drip""
@upnostalgia @godamniro lemonade aoty https://t.co/kee5U2HCfk
RT @mahitodilf: Whoever made Wendy’s strawberry lemonade needa get they ass ate ASAP
@lemonade_yellow 奥が深いゲームですね！確か！
RT @S4hmFN: Lulz highlight#3 / Lemonade🍋
ppppllllllllllsssssssss FAV＆RT!! https://t.co/GjPqV260wr
y’all im so dumb.. i was in the McDonald’s drive thru with my friend and he told me to order him a lemonade called… https://t.co/g6z4Oou01W
@lemonade_0918 え！
じゃあ今度食べてみるわ！
鎌倉ってついつい八幡宮側ばかり行きがちだから、御成の方全然開拓できてなくて面白い！笑
When life gives you lemons, make lemonade! https://t.co/ouaU0sqT0m https://t.co/7kWVTObe9m
RT @RadioCandyRadio: Now playing Karmic Lemonade by #VelvetStarlings!
@StraderZane @nightwaynes I need some lol. All I have that can give me enerhy is lemonade and I don't know if there's enough of it"
39,Telepatia,"RT @beidoeu: #原神 Telepatía ft. #VENTI! https://t.co/KEcGcYyl2L
RT @ganwangxingpics: #wangxing: telepatía 

#甘望星 + #GanWangXing 
  ↪︎ #CHUANG2021 ♡ #创造营2021 https://t.co/6z8VLbliEc
RT @beidoeu: #原神 Telepatía ft. #VENTI! https://t.co/KEcGcYyl2L
RT @marianawismann: Ya me casé contigo por telepatía
RT @marianawismann: Ya me casé contigo por telepatía
RT @marianawismann: Ya me casé contigo por telepatía
Me caga que Telepatía de Kali Uchis se haya hecho tannn famosa porque ahora por eso la diosa Uchis está con la peor parte de TikTokmx.
Te envié un besito en la mejilla por telepatía, ¿lo sentiste?
RT @marianawismann: Ya me casé contigo por telepatía
RT @marianawismann: Ya me casé contigo por telepatía"
40,The Good Ones,"@Nikunj21129 Yes, the black atlas ones, though it was ₹2 per hour and ₹5 for 5 hrs. Good old times 😇
RT @FilmstoFilms_: Movies are “good” or “bad” depends on how they make us feel. Sometimes the ones most people consider bad for you they're…
RT @XanozIchimonji: I'm not a fan of the 'not all' but I've done it before out of being emotional and overwhelmed by everything. Try to not…
RT @FaventM: @Tariq_st_Patrik Tuchel is a good coach. Same players that Lampard bought and could not put to optimal use, are the ones becom…
|| Ok, let's admit it

I am NOT a good blitz

BUT

I am one of the funniest ones!
RT @FilmstoFilms_: Movies are “good” or “bad” depends on how they make us feel. Sometimes the ones most people consider bad for you they're…
RT @XanozIchimonji: I'm not a fan of the 'not all' but I've done it before out of being emotional and overwhelmed by everything. Try to not…
@KokopelliDesign 😀 I did a good 6 months of flower painting and moved with the seasons. As they come around again,… https://t.co/gdRL61H4r1
@HEBobiwine #ripmagufuli #WhatWouldMagufuliDo Only the Good ones leave us,,,😭😭
Same brand but not Kombucha~
That one is so sour 🥺 I can't really eat sour foods that much...

Good Aftermorning my… https://t.co/PnLZdkZXEG"
41,Lonely,"911/ Mr lonely is just yes rn
I lonely...sorta
@drewstical umm yeah hes very strict... did he said anything on lonely, anyone or hold on?
RT @DaddyKayKayy: Being a night owl gets lonely because I be up and everybody be sleep.
i feel so lonely 2day
oh god i forgot to put that this is about spotify wrapped
Hurt. Lonely.
grown up qiqi, lonely
#イラスト #イラスト好きな人と繋がりたい #イラストグラム #genshin #原神  
#Qiqi 
#illust #ArtistOnTwitter https://t.co/9N6FCeu6lu
@yourmomrry pov: you’re a sad lonely virgin who can’t drive (look above)
I want to abuse vyvanse with someone . Someone come over I’m lonely and the kids are at Kanye’s"
42,Cry Baby,"RT @leeapple44: Baby ELFs, thank you! Hahahaha. I notice there are many baby elfs and really helped us in streaming. We had a hard time rea…
Hush now baby, don't you cry
RT @loeyspie: Jo Dalhwan on Chanyeol: ""I felt as if a baby bird came out its cage and I was moved"" ):

My heart has a thing for Chanyeol ge…
RT @leeapple44: Baby ELFs, thank you! Hahahaha. I notice there are many baby elfs and really helped us in streaming. We had a hard time rea…
ficar falando mal da aparência da Melanie, pq o web ele quando tinha a oportunidade falava mal da aparência da Mela… https://t.co/8Dv6K9TDsG
RT @leeapple44: Baby ELFs, thank you! Hahahaha. I notice there are many baby elfs and really helped us in streaming. We had a hard time rea…
RT @leeapple44: Baby ELFs, thank you! Hahahaha. I notice there are many baby elfs and really helped us in streaming. We had a hard time rea…
RT @leeapple44: Baby ELFs, thank you! Hahahaha. I notice there are many baby elfs and really helped us in streaming. We had a hard time rea…
RT @leeapple44: Baby ELFs, thank you! Hahahaha. I notice there are many baby elfs and really helped us in streaming. We had a hard time rea…
We going through it rn I know baby don’t cry. 😞 https://t.co/DyrztBvEN5"
43,Dynamite,"RT @JennaGuillaume: I wrote about @BTS_twt's journey with #Dynamite through more than 30 (!) performances, and the narrative of connection…
RT @btsyoutubedata: .@BTS_twt 'Dynamite' MV has surpassed 930M views on YouTube
@jaehyun97_net @Pepepan90 @leggorbitch dynamite is so overrated lol
RT @arirangtvnews: ▪ BTS' DOUBLE-PLATINUM 'DYNAMITE'

BTS earns double-platinum certification from RIAA for their hit song 'Dynamite'

#BTS…
RT @BigHitEnt: [기사] #BTS Set Another Massive Guinness World Record With 'Dynamite'
https://t.co/L0xqvmui9s
RT @charts_k: “Dynamite” (@BTS_twt) becomes the first song in Gaon Digital Chart history to spend 30 weeks inside the Top 10!
RT @BigHitEnt: [기사] #BTS Set Another Massive Guinness World Record With 'Dynamite'
https://t.co/L0xqvmui9s
RT @SerieTV46: Top 3 most Digital points for a Idol boy group on Gaon in 2021:

#1 @BTS_twt ""Dynamite"" - 180,705,930
#2 @BTS_twt ""Life Goes…
RT @chartdata: ""Dynamite"" is now @BTS_twt's highest certified song by the @RIAA.
RT @BigHitEnt: [기사] #방탄소년단 'Dynamite', 美 RIAA '더블 플래티넘' 인증…韓 최다 기록
https://t.co/cLTvnceWhf"
44,What's Your Country Song,"RT @ochakeki: 🎸 when you love someone
— for #xiaoventi2021's day six: aesthetics

au where you get a tattoo of your soulmate's favorite son…
@zaynmalik @siriusxmvolume what’s your favorite country song?
RT @TasteOfCountry: What's your No.1 country song you're listening to right now?
RT @northernchica: What’s your favorite country love song? Or sad country song?
@TasteOfCountry What's your No.1 country song you're listening to right now? Roy Rogers - #KaceyMusgraves https://t.co/czT8IRhfGz
What’s your favorite country love song? Or sad country song?
RT @TasteOfCountry: What's your No.1 country song you're listening to right now?
THIS WEEK’S MEDIABASE TOP 10 (#1-5)

1.) @PARMALEE &amp; @BLANCOBROWN - “Just The Way” 

2.) @THOMASRHETT - “What's You… https://t.co/QlEKxlpGyJ
RT @FiddleSabre: “What’s Your Country Song” by @ThomasRhett on pace to be the #1 song on both Mediabase and Billboard Country Airplay next…
.@zaynmalik what’s your favorite country song 😏😏"
45,My Head And My Heart,"RT @hinaa931: My heart aches, head hurts and blood boils. How could somebody stoop so freaking low?!

SC Grant No Bail To Rhea https://t.co…
being snuggled up in this arms just feels like home, and his heart beat ? a sound that lives rent free in my head &lt;3 i’m in luvvvv
I keep it to myself and try not to cry too hard
 I just want to rest my head on your chest
 So I'm as close to your… https://t.co/YsxOcDlwPu
RT @qu8nxi: @raz8rsbff Take me into your loving arms
Kiss me under the light of a thousand stars
Oh darling, place your head on my beating…
@raz8rsbff Take me into your loving arms
Kiss me under the light of a thousand stars
Oh darling, place your head on… https://t.co/RfTZxEtdld
@Clover_Kshop Kahit masakit sa loob looban and deepest part of my heart, ipaubaya ko na sa iba la. Sabi ni mama, ""b… https://t.co/tgE3SfnsmF
@Jolietheetherna I understand you perfectly. But we all looking for a better and for the best liking someone a beau… https://t.co/GWUo2qRNox
i wanna rip my heart out and head off
RT @CryptoKaybug: Sitting looking at the charts and watching tv with my kids. “Mom, your gonna buy me LOTS of hatchaminals when we go to th…
Sitting looking at the charts and watching tv with my kids. “Mom, your gonna buy me LOTS of hatchaminals when we go… https://t.co/8R456bYDSE"
