week1,songName,artistName,streams,week2,songName,artistName,streams,week3,songName,artistName,streams,week4,songName,artistName,streams,week5,songName,artistName,streams,week6,songName,artistName,streams,week7,songName,artistName,streams,week8,songName,artistName,streams,week9,songName,artistName,streams,week10,songName,artistName,streams
80,Lucid Dreams,Juice WRLD,7373276,80,willow,Taylor Swift,7280253,80,Snowman,Sia,7406528,80,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",7355712,80,Mi Niña,"Wisin, Myke Towers, Los Legendarios",7308686,80,Put Your Records On,Ritt Momney,7432975,80,Wishing Well,Juice WRLD,7644984,80,At My Worst,Pink Sweat$,7649332,80,pov,Ariana Grande,7666243,80,"Ay, DiOs Mío!",KAROL G,7464022
81,Lonely (with benny blanco),Justin Bieber,7290160,81,bad guy,Billie Eilish,7208613,81,goosebumps,Travis Scott,7368236,81,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",7250912,81,Skin,Sabrina Carpenter,7276347,81,Adore You,Harry Styles,7418468,81,Put Your Records On,Ritt Momney,7641973,81,Wishing Well,Juice WRLD,7639310,81,At My Worst,Pink Sweat$,7663582,81,Rain On Me (with Ariana Grande),Lady Gaga,7242961
82,Ropa Cara,Camilo,7281150,82,The Hills,The Weeknd,7174503,82,Shallow,"Lady Gaga, Bradley Cooper",7344878,82,At My Worst,Pink Sweat$,7244524,82,Polvo,"Nicky Jam, Myke Towers",7264641,82,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",7393995,82,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",7627303,82,Heat Waves,Glass Animals,7518807,82,Vibez,ZAYN,7636528,82,Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez",7209445
83,Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",7148807,83,Golden,Harry Styles,7166322,83,Breaking Me,"Topic, A7S",7301049,83,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",7242887,83,The Box,Roddy Ricch,7225799,83,Wishing Well,Juice WRLD,7392381,83,The Box,Roddy Ricch,7624391,83,goosebumps,Travis Scott,7454298,83,Wasted On You,Morgan Wallen,7579797,83,"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Bizarrap, Nathy Peluso",7208840
84,Shallow,"Lady Gaga, Bradley Cooper",7140043,84,Señorita,"Shawn Mendes, Camila Cabello",7159338,84,BEBÉ,"Camilo, El Alfa",7292831,84,Adore You,Harry Styles,7234027,84,Señorita,"Shawn Mendes, Camila Cabello",7174615,84,Una Locura,"Ozuna, J Balvin, Chencho Corleone",7344031,84,At My Worst,Pink Sweat$,7540475,84,Adore You,Harry Styles,7446952,84,Blueberry Faygo,Lil Mosey,7577144,84,Train Wreck,James Arthur,7207365
85,goosebumps,Travis Scott,7118422,85,The Box,Roddy Ricch,7102864,85,My Head & My Heart,Ava Max,7272551,85,La Tóxica,Farruko,7097729,85,my ex's best friend (with blackbear),Machine Gun Kelly,7158048,85,Bad Boy (with Young Thug),Juice WRLD,7318236,85,goosebumps,Travis Scott,7486445,85,Body,Megan Thee Stallion,7416998,85,Adore You,Harry Styles,7520848,85,Tusa,"KAROL G, Nicki Minaj",7186577
86,BEBÉ,"Camilo, El Alfa",7068061,86,Laugh Now Cry Later (feat. Lil Durk),Drake,7089365,86,Mi Niña,"Wisin, Myke Towers, Los Legendarios",7263830,86,Breaking Me,"Topic, A7S",7096603,86,Life Goes On,BTS,7156774,86,SO DONE,The Kid LAROI,7308048,86,All We Got (feat. KIDDO),Robin Schulz,7483741,86,Blueberry Faygo,Lil Mosey,7402175,86,Jeans,Justin Quiles,7449211,86,Dreams - 2004 Remaster,Fleetwood Mac,7165372
87,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",7040163,87,Chica Ideal,"Sebastian Yatra, Guaynaa",7077728,87,The Box,Roddy Ricch,7237097,87,Wishing Well,Juice WRLD,7073262,87,Una Locura,"Ozuna, J Balvin, Chencho Corleone",7141189,87,Mi Niña,"Wisin, Myke Towers, Los Legendarios",7306744,87,Adore You,Harry Styles,7340415,87,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",7400472,87,Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez",7427818,87,Señorita,"Shawn Mendes, Camila Cabello",7118952
88,LOCATION,"KAROL G, Anuel AA, J Balvin",7039155,88,Adore You,Harry Styles,7061995,88,Life Goes On,BTS,7196637,88,The Box,Roddy Ricch,7040473,88,Wishing Well,Juice WRLD,7136606,88,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,7268175,88,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,7327301,88,Polvo,"Nicky Jam, Myke Towers",7330583,88,"Ay, DiOs Mío!",KAROL G,7371672,88,bad guy,Billie Eilish,6983874
89,Golden,Harry Styles,7027881,89,Breaking Me,"Topic, A7S",7003875,89,Señorita,"Shawn Mendes, Camila Cabello",7146049,89,Señorita,"Shawn Mendes, Camila Cabello",6977790,89,Adore You,Harry Styles,7099637,89,You (with Marshmello & Vance Joy),benny blanco,7237152,89,Polvo,"Nicky Jam, Myke Towers",7269755,89,pov,Ariana Grande,7266900,89,goosebumps,Travis Scott,7304739,89,Reminds Me Of You,"Juice WRLD, The Kid LAROI",6884889
90,Afterglow,Ed Sheeran,6999235,90,Fiel,"Los Legendarios, Wisin, Jhay Cortez",6998322,90,At My Worst,Pink Sweat$,7086404,90,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,6928286,90,Memories,Maroon 5,7006885,90,No Te Enamores - Remix,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",7229058,90,Blueberry Faygo,Lil Mosey,7258813,90,Jeans,Justin Quiles,7258249,90,Somebody’s Problem,Morgan Wallen,7296255,90,goosebumps,Travis Scott,6877516
91,Memories,Maroon 5,6883044,91,Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno",6977100,91,Adore You,Harry Styles,7070149,91,Polvo,"Nicky Jam, Myke Towers",6915685,91,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",6975009,91,Señorita,"Shawn Mendes, Camila Cabello",7205975,91,Wonder,Shawn Mendes,7256655,91,"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Bizarrap, Nathy Peluso",7250333,91,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",7295320,91,Come & Go (with Marshmello),Juice WRLD,6812738
92,bad guy,Billie Eilish,6875027,92,Mi Niña,"Wisin, Myke Towers, Los Legendarios",6969377,92,Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno",7057517,92,Mi Niña,"Wisin, Myke Towers, Los Legendarios",6908147,92,Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno",6945673,92,my ex's best friend (with blackbear),Machine Gun Kelly,7191089,92,Señorita,"Shawn Mendes, Camila Cabello",7234291,92,All We Got (feat. KIDDO),Robin Schulz,7245986,92,Señorita,"Shawn Mendes, Camila Cabello",7264289,92,At My Worst,Pink Sweat$,6758489
93,Adore You,Harry Styles,6853948,93,Memories,Maroon 5,6947415,93,In Your Eyes,The Weeknd,7012340,93,Vida de Rico,Camilo,6882780,93,Your Love (9PM),"ATB, Topic, A7S",6945072,93,Polvo,"Nicky Jam, Myke Towers",7166643,93,Memories,Maroon 5,7066877,93,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,7229950,93,"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Bizarrap, Nathy Peluso",7003305,93,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,6717958
94,Señorita,"Shawn Mendes, Camila Cabello",6840280,94,911,Sech,6942571,94,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",6973995,94,Say You Won't Let Go,James Arthur,6825249,94,Blueberry Faygo,Lil Mosey,6902084,94,Blueberry Faygo,Lil Mosey,7137923,94,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",7029034,94,Señorita,"Shawn Mendes, Camila Cabello",7208858,94,All We Got (feat. KIDDO),Robin Schulz,6989332,94,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",6680950
95,The Box,Roddy Ricch,6810541,95,BEBÉ,"Camilo, El Alfa",6932266,95,Wishing Well,Juice WRLD,6941854,95,Memories,Maroon 5,6809502,95,SO DONE,The Kid LAROI,6851296,95,Memories,Maroon 5,7081044,95,my ex's best friend (with blackbear),Machine Gun Kelly,6986421,95,Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez",7197256,95,Polvo,"Nicky Jam, Myke Towers",6965728,95,Sofia,Clairo,6667680
96,willow,Taylor Swift,6799763,96,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,6927416,96,Memories,Maroon 5,6929845,96,Train Wreck,James Arthur,6801151,96,Shallow,"Lady Gaga, Bradley Cooper",6764686,96,All We Got (feat. KIDDO),Robin Schulz,7032081,96,"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Bizarrap, Nathy Peluso",6985040,96,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",7185095,96,Robbery,Juice WRLD,6951332,96,Tattoo - Remix with Camilo,Rauw Alejandro,6665539
97,Believer,Imagine Dragons,6784840,97,Snowman,Sia,6888778,97,Believer,Imagine Dragons,6813966,97,Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon",6788039,97,Robbery,Juice WRLD,6730716,97,Robbery,Juice WRLD,6891798,97,Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez",6917895,97,Se Te Nota (with Guaynaa),Lele Pons,7156586,97,Come & Go (with Marshmello),Juice WRLD,6937177,97,Hawái - Remix,"Maluma, The Weeknd",6658460
98,Chica Ideal,"Sebastian Yatra, Guaynaa",6705478,98,Believer,Imagine Dragons,6861526,98,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",6804672,98,Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno",6767753,98,Believer,Imagine Dragons,6695473,98,Jocelyn Flores,XXXTENTACION,6799218,98,Jeans,Justin Quiles,6916751,98,Memories,Maroon 5,7146057,98,Dreams - 2004 Remaster,Fleetwood Mac,6924028,98,Robbery,Juice WRLD,6543810
99,The Hills,The Weeknd,6684404,99,Life Goes On,BTS,6840014,99,Blueberry Faygo,Lil Mosey,6773131,99,Blueberry Faygo,Lil Mosey,6763045,99,Daddy Issues,The Neighbourhood,6677743,99,Daddy Issues,The Neighbourhood,6703277,99,Jocelyn Flores,XXXTENTACION,6897406,99,Ohne Dich,"KASIMIR1441, badmómzjay, WILDBWOYS",7144762,99,Rain On Me (with Ariana Grande),Lady Gaga,6923304,99,Life Is Good (feat. Drake),Future,6525397
100,Breaking Me,"Topic, A7S",6676456,100,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",6835129,100,bad guy,Billie Eilish,6737543,100,Perfect,Ed Sheeran,6744837,100,Jocelyn Flores,XXXTENTACION,6659081,100,Shallow,"Lady Gaga, Bradley Cooper",6674395,100,Robbery,Juice WRLD,6893159,100,"Ay, DiOs Mío!",KAROL G,7103906,100,Daddy Issues,The Neighbourhood,6835367,100,Falling,Trevor Daniel,6524330
