chartSource,songRank,songName,songArtist,songStreams
billboard,22,Best Friend,Saweetie Featuring Doja Cat,0
billboard,23,Good Days,SZA,0
billboard,24,I Hope,Gabby Barrett Featuring Charlie Puth,0
billboard,25,On Me,Lil Baby,0
billboard,26,Streets,Doja Cat,0
billboard,27,Better Together,Luke Combs,0
billboard,28,Throat Baby (Go Baby),BRS Kash,0
billboard,29,Holy,Justin Bieber Featuring Chance The Rapper,0
billboard,30,Put Your Records On,Ritt Momney,0
billboard,31,Anyone,Justin Bieber,0
billboard,32,Willow,Taylor Swift,0
billboard,33,Just The Way,Parmalee x Blanco Brown,0
billboard,34,Without You,The Kid LAROI,0
billboard,35,Bang!,AJR,0
billboard,36,Down To One,Luke Bryan,0
billboard,37,No More Parties,Coi Leray Featuring Lil Durk,0
billboard,38,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,0
billboard,39,Telepatia,Kali Uchis,0
billboard,40,The Good Ones,Gabby Barrett,0
billboard,41,Lonely,Justin Bieber & benny blanco,0
billboard,42,Cry Baby,Megan Thee Stallion Featuring DaBaby,0
billboard,43,Dynamite,BTS,0
billboard,44,What's Your Country Song,Thomas Rhett,0
billboard,45,My Head And My Heart,Ava Max,0
billboard,46,Damage,H.E.R.,0
billboard,47,Laugh Now Cry Later,Drake Featuring Lil Durk,0
billboard,48,Starting Over,Chris Stapleton,0
billboard,49,Astronaut In The Ocean,Masked Wolf,0
billboard,50,Time Today,Moneybagg Yo,0
billboard,51,We're Good,Dua Lipa,0
billboard,52,Long Live,Florida Georgia Line,0
billboard,53,Beers And Sunshine,Darius Rucker,0
billboard,54,Heartbreak Anniversary,Giveon,0
billboard,55,Monsters,All Time Low Featuring Demi Lovato & blackbear ,0
billboard,56,Body,Megan Thee Stallion,0
billboard,57,Buss It,Erica Banks,0
billboard,58,Goosebumps,Travis Scott & HVME,0
billboard,59,Golden,Harry Styles,0
billboard,60,Lady,Brett Young,0
billboard,61,Heat Waves,Glass Animals,0
billboard,62,Wasted On You,Morgan Wallen,0
billboard,63,La Noche de Anoche,Bad Bunny & Rosalia,0
billboard,64,AP,Pop Smoke,0
billboard,65,Forever After All,Luke Combs,0
billboard,66,Track Star,Mooski,0
billboard,67,Momma's House,Dustin Lynch,0
billboard,68,Sand In My Boots,Morgan Wallen,0
billboard,69,Girl Like Me,Black Eyed Peas X Shakira,0
billboard,70,Hell Of A View,Eric Church,0
billboard,71,Lifestyle,Jason Derulo Featuring Adam Levine,0
billboard,72,Masterpiece,DaBaby,0
billboard,73,Somebody Like That,Tenille Arts,0
billboard,74,Only Wanna Be With You,Post Malone,0
billboard,75,One Too Many,Keith Urban Duet With P!nk,0
billboard,76,Neighbors,Pooh Shiesty Featuring BIG30,0
billboard,77,You Got It,VEDO,0
billboard,78,Tyler Herro,Jack Harlow,0
billboard,79,Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,0
billboard,80,Opp Stoppa,YBN Nahmir Featuring 21 Savage,0
billboard,81,The Business,Tiesto,0
billboard,82,Bandido,Myke Towers & Juhn,0
billboard,83,Quicksand,Morray,0
billboard,84,Almost Maybes,Jordan Davis,0
billboard,85,Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,0
billboard,86,Still Trappin',Lil Durk & King Von,0
billboard,87,Moonwalking In Calabasas,DDG,0
billboard,88,Made For You,Jake Owen,0
billboard,89,Hole In The Bottle,Kelsea Ballerini,0
billboard,90,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,0
billboard,91,Glad You Exist,Dan + Shay,0
billboard,92,Breaking Up Was Easy In The 90's,Sam Hunt,0
billboard,93,Somebody's Problem,Morgan Wallen,0
billboard,94,Drankin N Smokin,Future & Lil Uzi Vert,0
billboard,95,Pick Up Your Feelings,Jazmine Sullivan,0
billboard,96,Nobody,Dylan Scott,0
billboard,97,Cover Me Up,Morgan Wallen,0
billboard,98,Like I Want You,Giveon,0
billboard,99,Gone,Dierks Bentley,0
billboard,100,Bichota,Karol G,0
billboard,1,Drivers License,Olivia Rodrigo,0
billboard,2,34+35,Ariana Grande,0
billboard,3,Calling My Phone,Lil Tjay Featuring 6LACK,0
billboard,4,Blinding Lights,The Weeknd,0
billboard,5,Up,Cardi B,0
billboard,6,Save Your Tears,The Weeknd,0
billboard,7,Mood,24kGoldn Featuring iann dior,0
billboard,8,Go Crazy,Chris Brown & Young Thug,0
billboard,9,Levitating,Dua Lipa Featuring DaBaby,0
billboard,10,Positions,Ariana Grande,0
billboard,11,Love Story (Taylor's Version),Taylor Swift,0
billboard,12,What You Know Bout Love,Pop Smoke,0
billboard,13,Therefore I Am,Billie Eilish,0
billboard,14,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,0
billboard,15,Whoopty,CJ,0
billboard,16,Back In Blood,Pooh Shiesty Featuring Lil Durk,0
billboard,17,Holy,Justin Bieber Featuring Chance The Rapper,0
billboard,18,Good Days,SZA,0
billboard,19,I Hope,Gabby Barrett Featuring Charlie Puth,0
billboard,20,Better Together,Luke Combs,0
billboard,21,Dakiti,Bad Bunny & Jhay Cortez,0
billboard,22,Lonely,Justin Bieber & benny blanco,0
billboard,23,You Broke Me First.,Tate McRae,0
billboard,24,You're Mines Still,Yung Bleu Featuring Drake,0
billboard,25,Willow,Taylor Swift,0
billboard,26,Body,Megan Thee Stallion,0
billboard,27,Streets,Doja Cat,0
billboard,28,Anyone,Justin Bieber,0
billboard,29,My Ex's Best Friend,Machine Gun Kelly X blackbear,0
billboard,30,Throat Baby (Go Baby),BRS Kash,0
billboard,31,Bang!,AJR,0
billboard,32,On Me,Lil Baby,0
billboard,33,Before You Go,Lewis Capaldi,0
billboard,34,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,0
billboard,35,Good Time,Niko Moon,0
billboard,36,Laugh Now Cry Later,Drake Featuring Lil Durk,0
billboard,37,Starting Over,Chris Stapleton,0
billboard,38,Best Friend,Saweetie Featuring Doja Cat,0
billboard,39,Put Your Records On,Ritt Momney,0
billboard,40,Just The Way,Parmalee x Blanco Brown,0
billboard,41,Cry Baby,Megan Thee Stallion Featuring DaBaby,0
billboard,42,Beers And Sunshine,Darius Rucker,0
billboard,43,Without You,The Kid LAROI,0
billboard,44,Damage,H.E.R.,0
billboard,45,Dynamite,BTS,0
billboard,46,Down To One,Luke Bryan,0
billboard,47,Buss It,Erica Banks,0
billboard,48,Long Live,Florida Georgia Line,0
billboard,49,We're Good,Dua Lipa,0
billboard,50,Time Today,Moneybagg Yo,0
billboard,51,What It Feels Like,Nipsey Hussle & JAY-Z,0
billboard,52,Hole In The Bottle,Kelsea Ballerini,0
billboard,53,Wasted On You,Morgan Wallen,0
billboard,54,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,0
billboard,55,The Good Ones,Gabby Barrett,0
billboard,56,What's Your Country Song,Thomas Rhett,0
billboard,57,Sand In My Boots,Morgan Wallen,0
billboard,58,Golden,Harry Styles,0
billboard,59,Monsters,All Time Low Featuring Demi Lovato & blackbear ,0
billboard,60,Goosebumps,Travis Scott & HVME,0
billboard,61,My Head And My Heart,Ava Max,0
billboard,62,Tyler Herro,Jack Harlow,0
billboard,63,Lady,Brett Young,0
billboard,64,Heat Waves,Glass Animals,0
billboard,65,Afterglow,Ed Sheeran,0
billboard,66,Forever After All,Luke Combs,0
billboard,67,Girl Like Me,Black Eyed Peas X Shakira,0
billboard,68,Astronaut In The Ocean,Masked Wolf,0
billboard,69,La Noche de Anoche,Bad Bunny & Rosalia,0
billboard,70,No More Parties,Coi Leray Featuring Lil Durk,0
billboard,71,Somebody's Problem,Morgan Wallen,0
billboard,72,Momma's House,Dustin Lynch,0
billboard,73,Hell Of A View,Eric Church,0
billboard,74,Heartbreak Anniversary,Giveon,0
billboard,75,Neighbors,Pooh Shiesty Featuring BIG30,0
billboard,76,Lifestyle,Jason Derulo Featuring Adam Levine,0
billboard,77,So Done,The Kid LAROI,0
billboard,78,Somebody Like That,Tenille Arts,0
billboard,79,Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,0
billboard,80,Masterpiece,DaBaby,0
billboard,81,Moonwalking In Calabasas,DDG,0
billboard,82,Bandido,Myke Towers & Juhn,0
billboard,83,Happy Does,Kenny Chesney,0
billboard,84,Cover Me Up,Morgan Wallen,0
billboard,85,You Got It,VEDO,0
billboard,86,One Too Many,Keith Urban Duet With P!nk,0
billboard,87,Still Trappin',Lil Durk & King Von,0
billboard,88,Pick Up Your Feelings,Jazmine Sullivan,0
billboard,89,"Big, Big Plans",Chris Lane,0
billboard,90,Drankin N Smokin,Future & Lil Uzi Vert,0
billboard,91,Monster,Shawn Mendes & Justin Bieber,0
billboard,92,Bichota,Karol G,0
billboard,93,Glad You Exist,Dan + Shay,0
billboard,94,Quicksand,Morray,0
billboard,95,Like I Want You,Giveon,0
billboard,96,Almost Maybes,Jordan Davis,0
billboard,97,Back To The Streets,Saweetie Featuring Jhene Aiko,0
billboard,98,Bad Boy,Juice WRLD & Young Thug,0
billboard,99,Opp Stoppa,YBN Nahmir Featuring 21 Savage,0
billboard,100,How They Remember You,Rascal Flatts,0
billboard,1,Drivers License,Olivia Rodrigo,0
billboard,2,Up,Cardi B,0
billboard,3,Blinding Lights,The Weeknd,0
billboard,4,Save Your Tears,The Weeknd,0
billboard,5,Mood,24kGoldn Featuring iann dior,0
billboard,6,34+35,Ariana Grande,0
billboard,7,Go Crazy,Chris Brown & Young Thug,0
billboard,8,Levitating,Dua Lipa Featuring DaBaby,0
billboard,9,Positions,Ariana Grande,0
billboard,10,What You Know Bout Love,Pop Smoke,0
billboard,11,Whoopty,CJ,0
billboard,12,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,0
billboard,13,Good Days,SZA,0
billboard,14,Holy,Justin Bieber Featuring Chance The Rapper,0
billboard,15,Therefore I Am,Billie Eilish,0
billboard,16,Lonely,Justin Bieber & benny blanco,0
billboard,17,Back In Blood,Pooh Shiesty Featuring Lil Durk,0
billboard,18,Better Together,Luke Combs,0
billboard,19,Dakiti,Bad Bunny & Jhay Cortez,0
billboard,20,I Hope,Gabby Barrett Featuring Charlie Puth,0
billboard,21,Body,Megan Thee Stallion,0
billboard,22,Streets,Doja Cat,0
billboard,23,Bang!,AJR,0
billboard,24,You Broke Me First.,Tate McRae,0
billboard,25,My Ex's Best Friend,Machine Gun Kelly X blackbear,0
billboard,26,You're Mines Still,Yung Bleu Featuring Drake,0
billboard,27,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,0
billboard,28,Cry Baby,Megan Thee Stallion Featuring DaBaby,0
billboard,29,Willow,Taylor Swift,0
billboard,30,Laugh Now Cry Later,Drake Featuring Lil Durk,0
billboard,31,On Me,Lil Baby,0
billboard,32,Before You Go,Lewis Capaldi,0
billboard,33,Throat Baby (Go Baby),BRS Kash,0
billboard,34,Anyone,Justin Bieber,0
billboard,35,Good Time,Niko Moon,0
billboard,36,Wasted On You,Morgan Wallen,0
billboard,37,Time Today,Moneybagg Yo,0
billboard,38,Sand In My Boots,Morgan Wallen,0
billboard,39,Hole In The Bottle,Kelsea Ballerini,0
billboard,40,Starting Over,Chris Stapleton,0
billboard,41,Best Friend,Saweetie Featuring Doja Cat,0
billboard,42,Just The Way,Parmalee x Blanco Brown,0
billboard,43,Dynamite,BTS,0
billboard,44,Without You,The Kid LAROI,0
billboard,45,Put Your Records On,Ritt Momney,0
billboard,46,Beers And Sunshine,Darius Rucker,0
billboard,47,Damage,H.E.R.,0
billboard,48,Kings & Queens,Ava Max,0
billboard,49,Rockstar,DaBaby Featuring Roddy Ricch,0
billboard,50,Down To One,Luke Bryan,0
billboard,51,Neighbors,Pooh Shiesty Featuring BIG30,0
billboard,52,Somebody's Problem,Morgan Wallen,0
billboard,53,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,0
billboard,54,What's Your Country Song,Thomas Rhett,0
billboard,55,GNF (OKOKOK),Polo G,0
billboard,56,The Good Ones,Gabby Barrett,0
billboard,57,Afterglow,Ed Sheeran,0
billboard,58,Golden,Harry Styles,0
billboard,59,Goosebumps,Travis Scott & HVME,0
billboard,60,Buss It,Erica Banks,0
billboard,61,Long Live,Florida Georgia Line,0
billboard,62,Monsters,All Time Low Featuring Demi Lovato & blackbear ,0
billboard,63,Glad You Exist,Dan + Shay,0
billboard,64,Provide,G-Eazy Featuring Chris Brown & Mark Morrison,0
billboard,65,Tyler Herro,Jack Harlow,0
billboard,66,Cover Me Up,Morgan Wallen,0
billboard,67,Forever After All,Luke Combs,0
billboard,68,Lady,Brett Young,0
billboard,69,Heat Waves,Glass Animals,0
billboard,70,Happy Does,Kenny Chesney,0
billboard,71,Girl Like Me,Black Eyed Peas X Shakira,0
billboard,72,Momma's House,Dustin Lynch,0
billboard,73,Hell Of A View,Eric Church,0
billboard,74,So Done,The Kid LAROI,0
billboard,75,Back To The Streets,Saweetie Featuring Jhene Aiko,0
billboard,76,865,Morgan Wallen,0
billboard,77,Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,0
billboard,78,Bichota,Karol G,0
billboard,79,Somebody Like That,Tenille Arts,0
billboard,80,Still Trappin',Lil Durk & King Von,0
billboard,81,Box Of Churches,Pooh Shiesty Featuring 21 Savage,0
billboard,82,My Head And My Heart,Ava Max,0
billboard,83,Bad Boy,Juice WRLD & Young Thug,0
billboard,84,No More Parties,Coi Leray Featuring Lil Durk,0
billboard,85,Moonwalking In Calabasas,DDG,0
billboard,86,"Big, Big Plans",Chris Lane,0
billboard,87,Bandido,Myke Towers & Juhn,0
billboard,88,You Got It,VEDO,0
billboard,89,Pick Up Your Feelings,Jazmine Sullivan,0
billboard,90,Dangerous,Morgan Wallen,0
billboard,91,Monster,Shawn Mendes & Justin Bieber,0
billboard,92,One Too Many,Keith Urban Duet With P!nk,0
billboard,93,Warning,Morgan Wallen,0
billboard,94,Still Goin Down,Morgan Wallen,0
billboard,95,Lifestyle,Jason Derulo Featuring Adam Levine,0
billboard,96,Almost Maybes,Jordan Davis,0
billboard,97,Masterpiece,DaBaby,0
billboard,98,Prisoner,Miley Cyrus Featuring Dua Lipa,0
billboard,99,Skin,Sabrina Carpenter,0
billboard,100,Quicksand,Morray,0
billboard,1,Drivers License,Olivia Rodrigo,0
billboard,2,Mood,24kGoldn Featuring iann dior,0
billboard,3,Blinding Lights,The Weeknd,0
billboard,4,34+35,Ariana Grande,0
billboard,5,Levitating,Dua Lipa Featuring DaBaby,0
billboard,6,Go Crazy,Chris Brown & Young Thug,0
billboard,7,Positions,Ariana Grande,0
billboard,8,Holy,Justin Bieber Featuring Chance The Rapper,0
billboard,9,Good Days,SZA,0
billboard,10,Bang!,AJR,0
billboard,11,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,0
billboard,12,Therefore I Am,Billie Eilish,0
billboard,13,Lonely,Justin Bieber & benny blanco,0
billboard,14,Save Your Tears,The Weeknd,0
billboard,15,Better Together,Luke Combs,0
billboard,16,Whoopty,CJ,0
billboard,17,I Hope,Gabby Barrett Featuring Charlie Puth,0
billboard,18,Body,Megan Thee Stallion,0
billboard,19,What You Know Bout Love,Pop Smoke,0
billboard,20,Dakiti,Bad Bunny & Jhay Cortez,0
billboard,21,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,0
billboard,22,Laugh Now Cry Later,Drake Featuring Lil Durk,0
billboard,23,7 Summers,Morgan Wallen,0
billboard,24,Throat Baby (Go Baby),BRS Kash,0
billboard,25,Streets,Doja Cat,0
billboard,26,Anyone,Justin Bieber,0
billboard,27,You Broke Me First.,Tate McRae,0
billboard,28,Willow,Taylor Swift,0
billboard,29,On Me,Lil Baby,0
billboard,30,More Than My Hometown,Morgan Wallen,0
billboard,31,Wasted On You,Morgan Wallen,0
billboard,32,You're Mines Still,Yung Bleu Featuring Drake,0
billboard,33,Before You Go,Lewis Capaldi,0
billboard,34,My Ex's Best Friend,Machine Gun Kelly X blackbear,0
billboard,35,Kings & Queens,Ava Max,0
billboard,36,Starting Over,Chris Stapleton,0
billboard,37,Good Time,Niko Moon,0
billboard,38,Sand In My Boots,Morgan Wallen,0
billboard,39,Afterglow,Ed Sheeran,0
billboard,40,Back In Blood,Pooh Shiesty Featuring Lil Durk,0
billboard,41,Rockstar,DaBaby Featuring Roddy Ricch,0
billboard,42,Hole In The Bottle,Kelsea Ballerini,0
billboard,43,Somebody's Problem,Morgan Wallen,0
billboard,44,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",0
billboard,45,Best Friend,Saweetie Featuring Doja Cat,0
billboard,46,Dynamite,BTS,0
billboard,47,Without You,The Kid LAROI,0
billboard,48,Skin,Sabrina Carpenter,0
billboard,49,Diamonds,Sam Smith,0
billboard,50,Happy Does,Kenny Chesney,0
billboard,51,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,0
billboard,52,Damage,H.E.R.,0
billboard,53,Beers And Sunshine,Darius Rucker,0
billboard,54,Cry Baby,Megan Thee Stallion Featuring DaBaby,0
billboard,55,Put Your Records On,Ritt Momney,0
billboard,56,Just The Way,Parmalee x Blanco Brown,0
billboard,57,Bad Boy,Juice WRLD & Young Thug,0
billboard,58,Down To One,Luke Bryan,0
billboard,59,What's Your Country Song,Thomas Rhett,0
billboard,60,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,0
billboard,61,Back To The Streets,Saweetie Featuring Jhene Aiko,0
billboard,62,Lo Vas A Olvidar,Billie Eilish & ROSALIA,0
billboard,63,Tyler Herro,Jack Harlow,0
billboard,64,The Good Ones,Gabby Barrett,0
billboard,65,Golden,Harry Styles,0
billboard,66,Forever After All,Luke Combs,0
billboard,67,Buss It,Erica Banks,0
billboard,68,Long Live,Florida Georgia Line,0
billboard,69,Monsters,All Time Low Featuring Demi Lovato & blackbear ,0
billboard,70,Monster,Shawn Mendes & Justin Bieber,0
billboard,71,Holiday,Lil Nas X,0
billboard,72,Still Goin Down,Morgan Wallen,0
billboard,73,Goosebumps,Travis Scott & HVME,0
billboard,74,Cover Me Up,Morgan Wallen,0
billboard,75,Bichota,Karol G,0
billboard,76,Warning,Morgan Wallen,0
billboard,77,865,Morgan Wallen,0
billboard,78,Take You Dancing,Jason Derulo,0
billboard,79,So Done,The Kid LAROI,0
billboard,80,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,0
billboard,81,Prisoner,Miley Cyrus Featuring Dua Lipa,0
billboard,82,"Big, Big Plans",Chris Lane,0
billboard,83,Hit Different,SZA Featuring Ty Dolla $ign,0
billboard,84,Still Trappin',Lil Durk & King Von,0
billboard,85,Girl Like Me,Black Eyed Peas X Shakira,0
billboard,86,Lady,Brett Young,0
billboard,87,Momma's House,Dustin Lynch,0
billboard,88,Moonwalking In Calabasas,DDG,0
billboard,89,Somebody Like That,Tenille Arts,0
billboard,90,Hell Of A View,Eric Church,0
billboard,91,Heat Waves,Glass Animals,0
billboard,92,Masterpiece,DaBaby,0
billboard,93,Champagne Night,Lady A,0
billboard,94,Drankin N Smokin,Future & Lil Uzi Vert,0
billboard,95,You Got It,VEDO,0
billboard,96,One Too Many,Keith Urban Duet With P!nk,0
billboard,97,Opp Stoppa,YBN Nahmir Featuring 21 Savage,0
billboard,98,Kacey Talk,YoungBoy Never Broke Again,0
billboard,99,Adderall (Corvette Corvette),Popp Hunna,0
billboard,100,Antes,Anuel AA & Ozuna,0
billboard,1,Drivers License,Olivia Rodrigo,0
billboard,2,34+35,Ariana Grande,0
billboard,3,Mood,24kGoldn Featuring iann dior,0
billboard,4,Blinding Lights,The Weeknd,0
billboard,5,Positions,Ariana Grande,0
billboard,6,Levitating,Dua Lipa Featuring DaBaby,0
billboard,7,Go Crazy,Chris Brown & Young Thug,0
billboard,8,Holy,Justin Bieber Featuring Chance The Rapper,0
billboard,9,Bang!,AJR,0
billboard,10,Good Days,SZA,0
billboard,11,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,0
billboard,12,I Hope,Gabby Barrett Featuring Charlie Puth,0
billboard,13,Therefore I Am,Billie Eilish,0
billboard,14,Lonely,Justin Bieber & benny blanco,0
billboard,15,Better Together,Luke Combs,0
billboard,16,Body,Megan Thee Stallion,0
billboard,17,Laugh Now Cry Later,Drake Featuring Lil Durk,0
billboard,18,Dakiti,Bad Bunny & Jhay Cortez,0
billboard,19,Whoopty,CJ,0
billboard,20,Save Your Tears,The Weeknd,0
billboard,21,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,0
billboard,22,Bad Boy,Juice WRLD & Young Thug,0
billboard,23,What You Know Bout Love,Pop Smoke,0
billboard,24,Wasted On You,Morgan Wallen,0
billboard,25,7 Summers,Morgan Wallen,0
billboard,26,Anyone,Justin Bieber,0
billboard,27,More Than My Hometown,Morgan Wallen,0
billboard,28,Willow,Taylor Swift,0
billboard,29,Kings & Queens,Ava Max,0
billboard,30,Before You Go,Lewis Capaldi,0
billboard,31,You Broke Me First.,Tate McRae,0
billboard,32,You're Mines Still,Yung Bleu Featuring Drake,0
billboard,33,On Me,Lil Baby,0
billboard,34,My Ex's Best Friend,Machine Gun Kelly X blackbear,0
billboard,35,Starting Over,Chris Stapleton,0
billboard,36,Somebody's Problem,Morgan Wallen,0
billboard,37,Rockstar,DaBaby Featuring Roddy Ricch,0
billboard,38,I Should Probably Go To Bed,Dan + Shay,0
billboard,39,Streets,Doja Cat,0
billboard,40,Sand In My Boots,Morgan Wallen,0
billboard,41,Afterglow,Ed Sheeran,0
